Info | CBot instance [MA Cross, GER40.cash, m30] started.
29/01/2026 07:30:04.145 | Trade | → Executing Market Order to Sell 1.42 GER40.cash (SL: 54.67, TP: 143.14) SUCCEEDED, Position PID31
29/01/2026 07:30:04.145 | Info | MA Cross: bartime=2026-01-29 07:00, executed=2026-01-29 07:30:04, market Sell placed; SL=54.67431816746071 pips, TP=143.13736496241214 pips.
30/01/2026 08:00:00.045 | Trade | Executing Market Order to Sell 1.43 GER40.cash (SL: 55.58, TP: 145.5)
30/01/2026 08:00:00.045 | Trade | → Executing Market Order to Sell 1.43 GER40.cash (SL: 55.58, TP: 145.5) SUCCEEDED, Position PID32
30/01/2026 08:00:00.045 | Info | MA Cross: bartime=2026-01-30 07:30, executed=2026-01-30 08:00:00, market Sell placed; SL=55.57522030239899 pips, TP=145.49592675168054 pips.
30/01/2026 12:30:00.243 | Trade | Executing Market Order to Buy 1.17 GER40.cash (SL: 67.03, TP: 175.48)
30/01/2026 12:30:00.243 | Trade | → Executing Market Order to Buy 1.17 GER40.cash (SL: 67.03, TP: 175.48) SUCCEEDED, Position PID33
30/01/2026 12:30:00.243 | Info | MA Cross: bartime=2026-01-30 12:00, executed=2026-01-30 12:30:00, market Buy placed; SL=67.02967283248788 pips, TP=175.48368347545326 pips.
02/02/2026 11:30:00.193 | Trade | Executing Market Order to Buy 1.28 GER40.cash (SL: 60.58, TP: 158.6)
02/02/2026 11:30:00.193 | Trade | → Executing Market Order to Buy 1.28 GER40.cash (SL: 60.58, TP: 158.6) SUCCEEDED, Position PID34
02/02/2026 11:30:00.193 | Info | MA Cross: bartime=2026-02-02 11:00, executed=2026-02-02 11:30:00, market Buy placed; SL=60.58028598523124 pips, TP=158.59918870933538 pips.
03/02/2026 15:00:00.294 | Trade | Executing Market Order to Sell 1.15 GER40.cash (SL: 69.19, TP: 181.13)
03/02/2026 15:00:00.294 | Trade | → Executing Market Order to Sell 1.15 GER40.cash (SL: 69.19, TP: 181.13) SUCCEEDED, Position PID35
03/02/2026 15:00:00.294 | Info | MA Cross: bartime=2026-02-03 14:30, executed=2026-02-03 15:00:00, market Sell placed; SL=69.18595989165046 pips, TP=181.1288429963409 pips.
04/02/2026 04:00:21.293 | Trade | Executing Market Order to Buy 2.35 GER40.cash (SL: 33.72, TP: 88.28)
04/02/2026 04:00:21.293 | Trade | → Executing Market Order to Buy 2.35 GER40.cash (SL: 33.72, TP: 88.28) SUCCEEDED, Position PID36
04/02/2026 04:00:21.293 | Info | MA Cross: bartime=2026-02-04 03:30, executed=2026-02-04 04:00:21, market Buy placed; SL=33.72224428409322 pips, TP=88.28483553575605 pips.
06/02/2026 06:30:03.993 | Trade | Executing Market Order to Buy 1.3 GER40.cash (SL: 60.15, TP: 157.47)
06/02/2026 06:30:03.993 | Trade | → Executing Market Order to Buy 1.3 GER40.cash (SL: 60.15, TP: 157.47) SUCCEEDED, Position PID37
06/02/2026 06:30:03.993 | Info | MA Cross: bartime=2026-02-06 06:00, executed=2026-02-06 06:30:03, market Buy placed; SL=60.14858674954927 pips, TP=157.46900011031997 pips.
10/02/2026 07:00:00.113 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 3.85 units, which needs about $7645.34 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $4586.58 budget, free margin was $9173.15). Size was cut from 3.85 to 2.26 units. Real risk on this trade is now about $53.75 (0.59% of balance) instead of the requested 1.00%.
10/02/2026 07:00:00.113 | Trade | Executing Market Order to Sell 2.26 GER40.cash (SL: 20.17, TP: 52.8)
10/02/2026 07:00:00.113 | Trade | → Executing Market Order to Sell 2.26 GER40.cash (SL: 20.17, TP: 52.8) SUCCEEDED, Position PID38
10/02/2026 07:00:00.113 | Info | MA Cross: bartime=2026-02-10 06:30, executed=2026-02-10 07:00:00, market Sell placed; SL=20.16747318748509 pips, TP=52.79844480483596 pips.
10/02/2026 16:30:00.208 | Trade | Executing Market Order to Sell 1.81 GER40.cash (SL: 42.53, TP: 111.35)
10/02/2026 16:30:00.208 | Trade | → Executing Market Order to Sell 1.81 GER40.cash (SL: 42.53, TP: 111.35) SUCCEEDED, Position PID39
10/02/2026 16:30:00.208 | Info | MA Cross: bartime=2026-02-10 16:00, executed=2026-02-10 16:30:00, market Sell placed; SL=42.531102685476135 pips, TP=111.34642683057652 pips.
10/02/2026 20:00:00.014 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 2.49 units, which needs about $4944.65 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $4512.99 budget, free margin was $9025.97). Size was cut from 2.49 to 2.22 units. Real risk on this trade is now about $80.18 (0.89% of balance) instead of the requested 1.00%.
10/02/2026 20:00:00.014 | Trade | Executing Market Order to Buy 2.22 GER40.cash (SL: 30.63, TP: 80.18)
10/02/2026 20:00:00.014 | Trade | → Executing Market Order to Buy 2.22 GER40.cash (SL: 30.63, TP: 80.18) SUCCEEDED, Position PID40
10/02/2026 20:00:00.014 | Info | MA Cross: bartime=2026-02-10 19:30, executed=2026-02-10 20:00:00, market Buy placed; SL=30.626512465905748 pips, TP=80.18020963574125 pips.
11/02/2026 08:30:00.014 | Trade | Executing Market Order to Sell 1.64 GER40.cash (SL: 46.04, TP: 120.53)
11/02/2026 08:30:00.014 | Trade | → Executing Market Order to Sell 1.64 GER40.cash (SL: 46.04, TP: 120.53) SUCCEEDED, Position PID41
11/02/2026 08:30:00.014 | Info | MA Cross: bartime=2026-02-11 08:00, executed=2026-02-11 08:30:00, market Sell placed; SL=46.03847180589347 pips, TP=120.52871918782911 pips.
12/02/2026 00:30:00.114 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 2.91 units, which needs about $5778.68 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $4425.79 budget, free margin was $8851.57). Size was cut from 2.91 to 2.18 units. Real risk on this trade is now about $66.30 (0.75% of balance) instead of the requested 1.00%.
12/02/2026 00:30:00.114 | Trade | Executing Market Order to Buy 2.18 GER40.cash (SL: 25.79, TP: 67.51)
12/02/2026 00:30:00.114 | Trade | → Executing Market Order to Buy 2.18 GER40.cash (SL: 25.79, TP: 67.51) SUCCEEDED, Position PID42
12/02/2026 00:30:00.114 | Info | MA Cross: bartime=2026-02-12 00:00, executed=2026-02-12 00:30:00, market Buy placed; SL=25.78772904640976 pips, TP=67.51227464350075 pips.
12/02/2026 19:00:00.213 | Trade | Executing Market Order to Sell 0.96 GER40.cash (SL: 79.43, TP: 207.95)
12/02/2026 19:00:00.213 | Trade | → Executing Market Order to Sell 0.96 GER40.cash (SL: 79.43, TP: 207.95) SUCCEEDED, Position PID43
12/02/2026 19:00:00.213 | Info | MA Cross: bartime=2026-02-12 18:30, executed=2026-02-12 19:00:00, market Sell placed; SL=79.43061112874379 pips, TP=207.94933993505123 pips.
13/02/2026 17:30:00.214 | Info | MA Cross: bartime=2026-02-13 17:00, reversal - closing existing Sell position 43 before opening opposite direction.
13/02/2026 17:30:00.214 | Trade | Closing position PID43 (Volume: 0.96)
13/02/2026 17:30:00.214 | Trade | → Closing position PID43 (Volume: 0.96) SUCCEEDED
13/02/2026 17:30:00.214 | Trade | Executing Market Order to Buy 1.17 GER40.cash (SL: 64.87, TP: 169.83)
13/02/2026 17:30:00.214 | Trade | → Executing Market Order to Buy 1.17 GER40.cash (SL: 64.87, TP: 169.83) SUCCEEDED, Position PID44
13/02/2026 17:30:00.214 | Info | MA Cross: bartime=2026-02-13 17:00, executed=2026-02-13 17:30:00, market Buy placed; SL=64.86915397831491 pips, TP=169.82744511522844 pips.
16/02/2026 15:00:00.096 | Trade | Executing Market Order to Sell 1.73 GER40.cash (SL: 43.47, TP: 113.81)
16/02/2026 15:00:00.096 | Trade | → Executing Market Order to Sell 1.73 GER40.cash (SL: 43.47, TP: 113.81) SUCCEEDED, Position PID45
16/02/2026 15:00:00.096 | Info | MA Cross: bartime=2026-02-16 14:30, executed=2026-02-16 15:00:00, market Sell placed; SL=43.47259671044388 pips, TP=113.81125818794207 pips.
17/02/2026 12:30:00.094 | Trade | Executing Market Order to Buy 1.61 GER40.cash (SL: 48.16, TP: 126.07)
17/02/2026 12:30:00.094 | Trade | → Executing Market Order to Buy 1.61 GER40.cash (SL: 48.16, TP: 126.07) SUCCEEDED, Position PID46
17/02/2026 12:30:00.094 | Info | MA Cross: bartime=2026-02-17 12:00, executed=2026-02-17 12:30:00, market Buy placed; SL=48.15558148575357 pips, TP=126.07131232970285 pips.
19/02/2026 03:00:01.395 | Info | MA Cross: MARGIN GUARD - order size reduced. Signal wanted 3.28 units, which needs about $6513.43 margin. Limit hit: MaxMarginPercent limit hit (50.0% of equity = $4530.30 budget, free margin was $9060.60). Size was cut from 3.28 to 2.23 units. Real risk on this trade is now about $61.54 (0.68% of balance) instead of the requested 1.00%.
19/02/2026 03:00:01.395 | Trade | Executing Market Order to Buy 2.23 GER40.cash (SL: 23.4, TP: 61.26)
